freq.,Plank,Wien,Rayliegh=Jeans
100000000,2.56904858009803e+21,520703501916259,2.56782222222222e+21,
100000100000000,2.27282995903829e+33,4.11086686198196e+32,2.56782735786923e+33,
200000100000000,8.00458594529249e+33,2.59635669795915e+33,1.02712991601803e+34,
300000100000000,1.57822913166877e+34,6.91798359162785e+33,2.31104154069359e+34,
400000100000000,2.44715732933024e+34,1.29460487798672e+34,4.10851760981359e+34,
500000100000000,3.31972189805784e+34,1.99622193392413e+34,6.41955812337803e+34,
600000100000000,4.1317946804963e+34,2.7232914849055e+34,
700000100000000,4.83970962445291e+34,3.41409873151522e+34,
800000100000000,5.41710681552168e+34,4.0234027100798e+34,
900000100000000,5.8517295130737e+34,4.52264670749441e+34,
1000000100000000,6.14233159999656e+34,4.8978641038119e+34,
1100000100000000,6.29582167554005e+34,5.14667073846091e+34,
1200000100000000,6.32473339516603e+34,5.27513608617673e+34,
1300000100000000,6.2450744747126e+34,5.29494664852822e+34,
1400000100000000,6.0745729304458e+34,5.22104265974392e+34,
1500000100000000,5.83131121065796e+34,5.0697730201755e+34,
1600000100000000,5.53271813808829e+34,4.85753894799513e+34,
1700000100000000,5.19487513209229e+34,4.59986105133663e+34,
1800000100000000,4.83208629337092e+34,4.31079201993286e+34,
1900000100000000,4.45666040264934e+34,4.00259790932804e+34,
2000000100000000,4.07885531102465e+34,3.68563866323871e+34,
2100000100000000,3.70694022488414e+34,3.36838914758078e+34,
2200000100000000,3.34733783379055e+34,3.05755321993052e+34,
2300000100000000,3.00481516585237e+34,2.75823394135872e+34,
2400000100000000,2.68269881368572e+34,2.47413232416188e+34,
2500000100000000,2.38309632507332e+34,2.20775477247055e+34,
2600000100000000,2.10711086166146e+34,1.96061562033555e+34,
2700000100000000,1.85504061010299e+34,1.73342603573502e+34,
2800000100000000,1.62655789868214e+34,1.52626422743412e+34,
2900000100000000,1.42086560783191e+34,1.33872456829971e+34,
3000000100000000,1.2368303776509e+34,1.17004512870879e+34,
3100000100000000,1.07309343388631e+34,1.0192143718959e+34,
3200000100000000,9.2816069767377e+33,8.85058548951429e+33,
3300000100000000,8.00474324371689e+33,7.66311768193987e+33,
3400000100000000,6.8846802856816e+33,6.61670900935737e+33,
3500000100000000,5.90608574659968e+33,5.69837500855684e+33,
3600000100000000,5.05425708146166e+33,4.89548816621956e+33,
3700000100000000,4.31532620339769e+33,4.19599811324835e+33,
3800000100000000,3.67638814605374e+33,3.58857899860752e+33,
3900000100000000,3.12557001324931e+33,3.06271899304603e+33,
4000000100000000,2.65205409326091e+33,2.60876472879191e+33,
4100000100000000,2.24606674975685e+33,2.2179314523529e+33,
4200000100000000,1.89884263363456e+33,1.88228781209382e+33,
4300000100000000,1.60257192402067e+33,1.59472254946074e+33,
4400000100000000,1.35033671297865e+33,1.34889892162838e+33,
4500000100000000,1.13604129164776e+33,1.13920144957434e+33,
4600000100000000,9.54339960276716e+32,9.60678546302928e+32,
4700000100000000,8.00565049957235e+32,8.08983717502099e+32,
4800000100000000,6.70657086291952e+32,6.80317321411434e+32,
4900000100000000,5.61098420776896e+32,5.71370305701532e+32,
